"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C8a",0.384538094446552,2.12743401756828,4.02229560895437,0.528910409476672,0.596867600540282,0.977178756916937
"C8b",0.284459731614366,1.74940554086417,4.05619988957793,0.431291748061806,0.666256249692967,0.977178756916937
"Gm36661",0,NA,NA,NA,NA,NA
"Gm12717",0,NA,NA,NA,NA,NA
"Dab1",0.192269047223276,1.03925381775987,4.0804728567969,0.254689555409925,0.798962883861082,0.977178756916937
"Gm36604",0,NA,NA,NA,NA,NA
"Gm25877",0,NA,NA,NA,NA,NA
"Gm12715",0,NA,NA,NA,NA,NA
"Gm12716",0,NA,NA,NA,NA,NA
"Gm12718",0,NA,NA,NA,NA,NA
"Oma1",0,NA,NA,NA,NA,NA
"Gm36523",0.568919463228733,2.73541646583824,3.98298419162523,0.686775627076258,0.492224130965273,0.977178756916937
"4930456L15Rik",0,NA,NA,NA,NA,NA
"4921539E11Rik",0,NA,NA,NA,NA,NA
"Slc35d1",0,NA,NA,NA,NA,NA
"Mier1",0.284459731614366,1.74940554086417,4.05619988957793,0.431291748061806,0.666256249692967,0.977178756916937
"Wdr78",0,NA,NA,NA,NA,NA
"Insl5",0,NA,NA,NA,NA,NA
"BB031773",0,NA,NA,NA,NA,NA
"Tctex1d1",0,NA,NA,NA,NA,NA
"Gm12709",0,NA,NA,NA,NA,NA
"Sgip1",0,NA,NA,NA,NA,NA
"Gm24869",0,NA,NA,NA,NA,NA
"Gm52667",0.252810470990394,-1.55434869377578,4.05575091643535,-0.383245600087769,0.701537670328089,0.977178756916937
"Gm52668",0.142229865807183,1.03925381775987,4.0804728567969,0.254689555409925,0.798962883861082,0.977178756916937
"Gm18220",0,NA,NA,NA,NA,NA
"Gm18219",0,NA,NA,NA,NA,NA
"Gm52669",0,NA,NA,NA,NA,NA
